"","datetime","city","country","shape"
"57797",2002-06-26,"airdrie (uk/scotland)","gb","disk"
"23961",2007-12-31,"aldershot (uk/england)","gb","disk"
"25570",2008-01-26,"basingstoke (uk/england)","gb","disk"
"70548",2001-07-07,"bath (uk/england)","gb","disk"
"74245",2012-08-15,"benfleet (thames estuary) (uk/england)","gb","disk"
"55205",2007-06-16,"birmingham (uk/england)","gb","disk"
"65996",2006-07-23,"birmingham (uk/england)","gb","disk"
"17095",2009-01-16,"blackpool (uk/england)","gb","disk"
"26158",2005-12-08,"blackpool (uk/england)","gb","disk"
"83197",2011-09-15,"blackpool (uk/england)","gb","disk"
"42443",2007-04-21,"bridgend (uk/wales)","gb","disk"
"21840",2007-12-02,"bridgewater (uk/england)","gb","disk"
"18929",2013-12-10,"bristol (uk/england)","gb","disk"
"38588",2006-03-04,"canterbury (near)&#44 dover&#44 kent (uk/england)","gb","disk"
"15125",2002-11-29,"canterbury (uk/england)","gb","disk"
"52485",1976-06-01,"canterbury (uk/england)","gb","disk"
"22",1974-10-10,"cardiff (uk/wales)","gb","disk"
"10296",1962-11-15,"cardiff (uk/wales)","gb","disk"
"32917",2001-02-06,"carlisle (uk/england)","gb","disk"
"54177",1966-06-15,"caversham (reading) (uk/england)","gb","disk"
"86940",2001-09-29,"craigavon (uk/northern ireland)","gb","disk"
"33306",2007-02-08,"darlington (uk/england)","gb","disk"
"78883",1997-08-03,"darvel (uk/scotland)","gb","disk"
"87981",2003-09-05,"derby (uk/england)","gb","disk"
"14689",2004-11-27,"dunstable (uk/england)","gb","disk"
"35430",2004-03-16,"dunstable (uk/england)","gb","disk"
"64598",1977-07-19,"edinburgh (uk/scotland)","gb","disk"
"12318",2008-01-01,"ellesmere port (uk/england)","gb","disk"
"45192",2001-04-07,"eynsham (uk/england)","gb","disk"
"39713",2006-04-10,"fleetwood (uk/england)","gb","disk"
"27415",1976-01-05,"folkestone (uk/england)","gb","disk"
"58949",1993-06-30,"gateshead (uk/england)","gb","disk"
"28996",2001-02-12,"glasgow (uk/scotland)","gb","disk"
"50568",2001-05-04,"glasgow (uk/scotland)","gb","disk"
"55670",2009-06-18,"glasgow (uk/scotland)","gb","disk"
"61248",2004-07-11,"gosport (uk/england)","gb","disk"
"33645",2004-03-10,"great yarmouth (uk/england)","gb","disk"
"50821",2005-05-05,"hampshire (uk/england)","gb","disk"
"43270",2011-04-24,"harrogate (uk/england)","gb","disk"
"62387",2004-07-13,"hartlepool (uk/england)","gb","disk"
"74351",2000-08-16,"hemel hempstead (uk/england)","gb","disk"
"3848",2007-10-21,"hereford (uk/england)","gb","disk"
"35876",2012-03-18,"hertford (uk/england)","gb","disk"
"35051",1991-03-15,"hertfordshire (uk/england)","gb","disk"
"2407",2008-10-15,"hull (uk/england)","gb","disk"
"8390",2011-01-10,"kent (uk/england)","gb","disk"
"56885",2010-06-22,"kettering (uk/england)","gb","disk"
"12797",1998-11-20,"launceston (uk/england)","gb","disk"
"23138",2000-12-27,"leeds (uk/england)","gb","disk"
"34094",2001-03-01,"leeds (uk/england)","gb","disk"
"64621",1999-07-19,"leeds (uk/england)","gb","disk"
"18871",2008-12-10,"leicester (uk/england)","gb","disk"
"63015",1970-07-15,"lincoln (near) (uk/england)","gb","disk"
"41459",2009-04-16,"lincoln (uk/england)","gb","disk"
"59098",2003-06-30,"lincolnshire (uk/england)","gb","disk"
"44009",2011-04-28,"liverpool (kirkdale) (uk/england)","gb","disk"
"21441",2006-12-20,"liverpool (uk/england)","gb","disk"
"53042",1997-06-01,"liverpool (uk/england)","gb","disk"
"6924",2001-10-04,"london (uk/england)","gb","disk"
"12371",2009-01-01,"london (uk/england)","gb","disk"
"26121",2003-01-28,"london (uk/england)","gb","disk"
"33493",2006-02-09,"london (uk/england)","gb","disk"
